timestamp,ch0,ch1
3708366.473,32,815
3708366.473,6,832
3708366.484,4,832
3708366.484,20,817
3708366.49,101,753
3708366.49,125,735
3708366.517,127,736
3708366.517,109,751
3708366.531,30,815
3708366.531,5,832
3708366.532,4,833
3708366.532,21,817
3708366.533,99,753
3708366.533,125,736
3708366.536,128,735
3708366.536,110,749
3708366.539,29,814
3708366.539,5,832
3708366.549,6,831
3708366.549,21,816
3708366.556,100,753
3708366.556,125,734
3708366.566,127,734
3708366.566,110,750
3708366.572,30,817
3708366.572,5,833
3708366.589,5,833
3708366.589,21,818
3708366.589,100,753
3708366.589,126,736
3708366.593,126,735
3708366.593,109,751
3708366.602,32,814
3708366.602,6,831
3708366.611,3,832
3708366.611,22,818
3708366.63,100,754
3708366.63,126,736
3708366.631,128,735
3708366.631,111,749
3708366.634,32,813
3708366.634,7,832
3708366.643,7,831
3708366.643,23,818
3708366.651,102,753
3708366.651,127,735
3708366.662,129,735
3708366.663,111,750
3708366.666,33,814
3708366.666,8,831
3708366.694,6,832
3708366.694,24,817
3708366.695,103,753
3708366.695,128,735
3708366.697,130,735
3708366.697,113,749
3708366.698,33,815
3708366.698,6,832
3708366.707,5,833
3708366.707,20,817
3708366.716,100,754
3708366.716,128,737
3708366.729,129,735
3708366.729,112,750
3708366.735,29,815
3708366.735,4,831
3708366.737,4,832
3708366.737,24,817
3708366.748,102,753
3708366.748,126,737
3708366.755,127,735
3708366.755,112,750
3708366.761,32,814
3708366.761,6,831
3708366.77,5,832
3708366.77,22,816
3708366.779,102,753
3708366.779,125,735
3708366.787,126,736
3708366.787,110,751
3708366.798,31,813
3708366.798,7,831
3708366.816,4,831
3708366.816,22,816
3708366.83,102,751
3708366.83,127,734
3708366.832,130,734
3708366.832,112,750
3708366.834,34,815
3708366.834,7,832
3708366.836,5,831
3708366.836,23,815
3708366.842,101,753
3708366.842,126,737
3708366.861,127,736
3708366.861,112,749
3708366.861,33,811
3708366.861,7,831
3708366.867,3,831
3708366.867,21,816
3708366.877,99,754
3708366.877,125,736
3708366.883,125,734
3708366.883,111,750
3708366.892,31,814
3708366.892,4,830
3708366.91,5,830
3708366.91,23,815
3708366.91,103,751
3708366.91,124,734
3708366.914,127,734
3708366.914,109,750
3708366.926,32,813
3708366.926,6,829
3708366.933,3,830
3708366.933,20,816
3708366.939,101,753
3708366.939,126,735
3708366.948,128,735
3708366.948,110,751
3708366.954,30,814
3708366.954,4,831
3708366.963,4,830
3708366.963,22,815
3708366.972,102,752
3708366.972,127,736
3708366.981,128,736
3708366.981,109,751
3708366.986,30,813
3708366.986,3,831
3708366.997,4,832
3708366.997,21,816
3708367.003,98,753
3708367.003,124,735
3708367.01,125,735
3708367.01,108,752
3708367.02,28,814
3708367.02,3,831
3708367.033,3,832
3708367.033,22,817
3708367.036,102,753
3708367.036,127,736
3708367.042,128,735
3708367.042,109,751
3708367.051,30,815
3708367.051,7,833
3708367.057,3,833
3708367.057,21,817
3708367.066,100,754
3708367.066,126,737
3708367.075,127,737
3708367.075,109,752
3708367.084,31,815
3708367.084,7,832
3708367.091,5,832
3708367.091,20,818
3708367.115,99,755
3708367.115,126,737
3708367.129,127,736
3708367.129,109,751
3708367.131,30,815
3708367.131,5,831
3708367.133,6,833
