timestamp,ch0,ch1
3708453.852,58,599
3708453.852,80,614
3708453.863,80,678
3708453.863,64,693
3708453.866,-13,695
3708453.866,-37,680
3708453.874,-39,616
3708453.874,-21,599
3708453.885,59,600
3708453.885,81,615
3708453.899,82,677
3708453.899,65,694
3708453.901,-12,694
3708453.901,-35,680
3708453.909,-37,616
3708453.909,-19,599
3708453.917,56,598
3708453.917,80,614
3708453.924,83,678
3708453.924,67,695
3708453.931,-11,697
3708453.931,-36,680
3708453.943,-36,616
3708453.943,-20,599
3708453.946,55,599
3708453.946,81,613
3708453.955,82,676
3708453.955,65,695
3708453.964,-14,696
3708453.964,-35,681
3708453.973,-36,616
3708453.973,-20,599
3708453.979,56,599
3708453.979,78,614
3708453.988,80,679
3708453.988,65,696
3708453.997,-12,695
3708453.997,-36,680
3708454.003,-35,616
3708454.003,-20,599
3708454.012,57,599
3708454.012,80,612
3708454.022,81,677
3708454.022,63,695
3708454.026,-13,695
3708454.026,-38,680
3708454.035,-39,616
3708454.035,-23,599
3708454.045,54,600
3708454.045,78,614
3708454.051,80,677
3708454.051,63,694
3708454.06,-13,695
3708454.06,-34,680
3708454.069,-38,616
3708454.069,-22,599
3708454.077,57,599
3708454.077,82,614
3708454.083,82,678
3708454.083,65,695
3708454.091,-12,696
3708454.091,-35,681
3708454.122,-36,617
3708454.122,-20,599
3708454.132,56,599
3708454.132,80,615
3708454.133,82,678
3708454.133,65,696
3708454.134,-13,695
3708454.134,-35,680
3708454.138,-36,617
3708454.138,-19,600
3708454.139,56,600
3708454.139,78,614
3708454.148,81,679
3708454.148,64,696
3708454.157,-12,696
3708454.157,-34,681
3708454.165,-38,617
3708454.165,-21,599
3708454.183,55,600
3708454.183,79,614
3708454.183,81,677
3708454.183,64,695
3708454.186,-14,696
3708454.186,-36,681
3708454.199,-38,617
3708454.199,-20,599
3708454.202,55,600
3708454.202,79,615
3708454.212,80,679
3708454.212,65,696
3708454.221,-13,696
3708454.221,-39,680
3708454.226,-40,616
3708454.226,-21,599
3708454.235,55,600
3708454.235,79,615
3708454.244,81,678
3708454.244,64,695
3708454.253,-12,696
3708454.253,-38,681
3708454.259,-40,616
3708454.259,-20,600
3708454.271,57,600
3708454.271,82,615
3708454.277,81,678
3708454.277,63,695
3708454.283,-13,696
3708454.283,-37,682
3708454.292,-38,618
3708454.292,-19,600
3708454.301,58,600
3708454.301,79,615
3708454.32,78,679
3708454.32,64,696
3708454.32,-13,695
3708454.32,-37,680
3708454.322,-38,617
3708454.322,-21,599
3708454.331,55,600
3708454.331,79,615
3708454.34,81,678
3708454.34,64,696
3708454.346,-13,697
3708454.346,-36,681
3708454.358,-38,618
3708454.358,-21,600
3708454.364,55,598
3708454.364,81,614
3708454.373,78,678
3708454.373,63,696
3708454.38,-13,697
3708454.38,-37,681
3708454.389,-37,617
3708454.389,-22,600
3708454.399,56,599
3708454.399,81,614
3708454.418,80,677
3708454.418,62,695
3708454.431,-14,696
3708454.431,-36,681
3708454.432,-38,616
3708454.432,-20,600
3708454.435,56,600
3708454.435,79,616
3708454.438,81,679
3708454.438,63,696
3708454.445,-13,696
3708454.445,-36,681
3708454.464,-38,617
3708454.464,-22,599
3708454.464,56,598
3708454.464,79,613
3708454.467,79,677
3708454.467,62,695
3708454.476,-14,695
3708454.476,-39,679
3708454.485,-39,616
3708454.485,-22,600
3708454.493,56,599
3708454.493,79,613
3708454.499,79,678
3708454.499,62,696
3708454.508,-15,696
3708454.508,-39,680
3708454.517,-38,617
3708454.517,-22,600
3708454.523,54,599
3708454.523,78,614
3708454.532,79,677
3708454.532,63,695
3708454.541,-13,695
3708454.541,-37,679
3708454.548,-39,616
3708454.548,-20,598
3708454.555,58,599
3708454.555,80,614
3708454.574,81,677
3708454.574,65,694
3708454.574,-12,694
3708454.574,-36,679
3708454.581,-39,615
3708454.581,-27,598
3708454.6,46,597
3708454.6,67,612
3708454.6,64,676
3708454.6,43,693
3708454.602,-38,693
3708454.602,-69,677
3708454.612,-74,613
3708454.612,-60,597
3708454.621,8,597
3708454.621,28,612
3708454.627,24,676
3708454.627,5,693
3708454.636,-77,694
3708454.636,-106,679
3708454.645,-113,616
3708454.645,-99,598
3708454.652,-24,597
3708454.652,-4,613
3708454.659,-10,677
3708454.659,-31,695
3708454.667,-110,696
3708454.667,-135,680
3708454.678,-139,616
3708454.678,-126,598
3708454.684,-53,597
3708454.684,-30,613
3708454.694,-30,677
3708454.694,-49,695
3708454.719,-124,695
3708454.719,-148,679
3708454.731,-150,616
3708454.731,-132,599
3708454.733,-55,599
3708454.733,-32,614
3708454.734,-30,678
3708454.734,-44,694
3708454.736,-123,694
3708454.736,-146,679
3708454.739,-147,616
3708454.739,-130,598
3708454.747,-53,598
3708454.747,-29,613
3708454.755,-28,677
3708454.755,-46,694
3708454.764,-121,695
3708454.764,-146,679
3708454.773,-148,616
3708454.773,-129,599
3708454.779,-53,598
3708454.779,-30,613
3708454.788,-28,676
3708454.788,-45,694
3708454.797,-122,695
3708454.797,-148,680
3708454.803,-147,615
3708454.803,-130,597
3708454.811,-53,598
3708454.811,-29,613
3708454.82,-28,677
3708454.82,-45,694
3708454.83,-123,694
3708454.83,-146,679
3708454.836,-147,616
3708454.836,-130,599
3708454.855,-53,599
3708454.855,-27,615
3708454.855,-28,678
3708454.855,-44,695
3708454.861,-121,694
3708454.861,-147,680
3708454.871,-149,617
3708454.871,-132,600
3708454.875,-59,601
